idx,label,action_name,n_frames,n_valid_frames,x_range,y_range,z_range,mean_variance,max_variance,min_variance,temporal_variance,warning
0,0,Svend Press,550,550,1.8374199867248535,0.9349600076675415,1.6808209419250488,0.11404060572385788,0.1895778775215149,0.0753941535949707,0.022888697683811188,
1,0,Svend Press,550,550,1.1535999774932861,1.0141339302062988,1.678890347480774,0.11580627411603928,0.1398097574710846,0.07251017540693283,0.015608063898980618,
2,0,Svend Press,550,550,1.14628005027771,1.0070929527282715,1.6741416454315186,0.11655808985233307,0.14002567529678345,0.06809309870004654,0.017558695748448372,
3,1,Kneeling Push-ups,550,550,1.195539951324463,1.632091999053955,1.7629733085632324,0.2570248246192932,0.33944201469421387,0.08035733550786972,0.04308263584971428,
4,1,Kneeling Push-ups,550,550,1.151050090789795,1.6086779832839966,1.7676955461502075,0.2749854028224945,0.3389493525028229,0.08900544792413712,0.045434702187776566,
5,1,Kneeling Push-ups,550,550,1.2532000541687012,1.5864839553833008,1.7771049737930298,0.2591891288757324,0.3241114914417267,0.0865500271320343,0.05249389261007309,
6,2,Standing Straight-arm Chest Press With Resistance Band,550,550,1.7934999465942383,1.0952329635620117,1.6307299137115479,0.15851415693759918,0.19220557808876038,0.11138194054365158,0.022360308095812798,
7,2,Standing Straight-arm Chest Press With Resistance Band,550,550,1.7874900102615356,0.9058690071105957,1.633497953414917,0.15847741067409515,0.18548694252967834,0.09714154899120331,0.02272469736635685,
8,2,Standing Straight-arm Chest Press With Resistance Band,550,550,1.787980079650879,0.8931729793548584,1.634799599647522,0.15799561142921448,0.18687227368354797,0.09830598533153534,0.023004168644547462,
9,3,Small Dumbbell Floor Flies,550,550,1.7661399841308594,1.6883130073547363,1.779860019683838,0.19668099284172058,0.3059685528278351,0.08907689899206161,0.07065474987030029,
10,3,Small Dumbbell Floor Flies,550,550,2.0333099365234375,1.8373219966888428,1.7918469905853271,0.19796797633171082,0.2718545198440552,0.08590563386678696,0.07224448025226593,
11,3,Small Dumbbell Floor Flies,550,550,1.7819899320602417,1.9033679962158203,1.792219877243042,0.22040404379367828,0.2892972528934479,0.0900287851691246,0.07023840397596359,
12,4,Chest Fly,550,550,1.2951899766921997,1.0523920059204102,2.171966552734375,0.16105280816555023,0.17925532162189484,0.09635160118341446,0.03824632987380028,
13,4,Chest Fly,550,550,1.331510066986084,1.0352799892425537,2.199551820755005,0.16501976549625397,0.18551139533519745,0.10240130126476288,0.03826868534088135,
14,4,Chest Fly,550,550,1.3043500185012817,0.9411180019378662,2.190385103225708,0.16533799469470978,0.1812208741903305,0.10519155859947205,0.03799113631248474,
15,5,Push-ups,550,550,1.1701799631118774,1.7892279624938965,1.749669075012207,0.20478098094463348,0.2437373399734497,0.08510196208953857,0.042325377464294434,
16,5,Push-ups,550,550,1.0270299911499023,1.8400449752807617,1.7379209995269775,0.19133272767066956,0.2239837944507599,0.08581376820802689,0.04322803020477295,
17,5,Push-ups,550,550,1.118269920349121,1.677880048751831,1.7375695705413818,0.192424476146698,0.2318008989095688,0.09179406613111496,0.05084381252527237,
18,6,Bent-over W-shape Stretch,550,550,1.5142600536346436,0.7336369752883911,1.6387672424316406,0.09725181013345718,0.13495637476444244,0.07161775976419449,0.01141832210123539,
19,6,Bent-over W-shape Stretch,550,550,1.5956299304962158,0.7229089736938477,1.646920084953308,0.10151908546686172,0.12942850589752197,0.0745127871632576,0.010997658595442772,
20,6,Bent-over W-shape Stretch,550,550,1.487089991569519,0.7526960372924805,1.6481242179870605,0.10704413801431656,0.14311182498931885,0.07700681686401367,0.01210732664912939,
21,7,Bent-over Y-shape Stretch,550,550,1.1031899452209473,1.0182980298995972,1.9253475666046143,0.12462718784809113,0.17401383817195892,0.07853487133979797,0.029642360284924507,
22,7,Bent-over Y-shape Stretch,550,550,1.192929983139038,1.0263710021972656,1.8778865337371826,0.12097475677728653,0.17539265751838684,0.07932403683662415,0.02894918993115425,
23,7,Bent-over Y-shape Stretch,550,550,1.2190899848937988,0.990494966506958,1.8110395669937134,0.1230287030339241,0.17137613892555237,0.08129508048295975,0.02708607353270054,
24,8,Bent-over A-shape Stretch,550,550,1.1177899837493896,1.1633399724960327,1.6363552808761597,0.1013934463262558,0.12723712623119354,0.08576115220785141,0.01606924459338188,
25,8,Bent-over A-shape Stretch,550,550,1.134350061416626,1.0704360008239746,1.6390442848205566,0.09421028941869736,0.10783551633358002,0.08122114092111588,0.014952284283936024,
26,8,Bent-over A-shape Stretch,550,550,1.1242499351501465,1.200415015220642,1.6394972801208496,0.09510069340467453,0.1161898821592331,0.08091265708208084,0.01710698753595352,
27,9,Squat With Arm Lift,550,550,1.6192600727081299,0.5728750228881836,1.727803349494934,0.15213318169116974,0.1730937957763672,0.0842791348695755,0.04358727112412453,
28,9,Squat With Arm Lift,550,550,1.6171200275421143,0.6016719937324524,1.7394626140594482,0.14112693071365356,0.1593416929244995,0.08231286704540253,0.04766044020652771,
29,9,Squat With Arm Lift,550,550,1.6442999839782715,0.5562610030174255,1.711529016494751,0.13460271060466766,0.15031862258911133,0.08303062617778778,0.042150940746068954,
30,10,Breaststroke Arm Pull,550,550,1.7676599025726318,2.3351988792419434,1.755761742591858,0.3221293091773987,0.4957212209701538,0.08605142682790756,0.08466936647891998,
31,10,Breaststroke Arm Pull,550,550,1.7468900680541992,2.314189910888672,1.7388746738433838,0.29757800698280334,0.4664748013019562,0.0798836350440979,0.083735391497612,
32,10,Breaststroke Arm Pull,550,550,1.750849962234497,2.3269410133361816,1.743959665298462,0.31187060475349426,0.4561435580253601,0.08708075433969498,0.06598266959190369,
33,11,Prone Y-shape Stretch,550,550,1.0315699577331543,2.286080837249756,1.7387148141860962,0.3626430928707123,0.4646243751049042,0.0831792950630188,0.05141235515475273,
34,11,Prone Y-shape Stretch,550,550,1.0490700006484985,2.291348934173584,1.7342321872711182,0.34969571232795715,0.4533170163631439,0.07978817820549011,0.06119151413440704,
35,11,Prone Y-shape Stretch,550,550,1.0672099590301514,2.275963068008423,1.7348555326461792,0.3995477259159088,0.4865626394748688,0.08443669974803925,0.04737900570034981,
36,12,Lateral Raise Forward Circles,550,550,1.8550699949264526,0.5854220390319824,1.6719207763671875,0.1705055832862854,0.20750631392002106,0.08491166681051254,0.009932009503245354,
37,12,Lateral Raise Forward Circles,550,550,1.8327900171279907,0.5315300226211548,1.6479219198226929,0.17055024206638336,0.204559326171875,0.09760652482509613,0.007509263232350349,
38,12,Lateral Raise Forward Circles,550,550,1.8611600399017334,0.6011599898338318,1.6581372022628784,0.17112600803375244,0.2076038271188736,0.1016136184334755,0.0083819180727005,
39,13,Lateral Raise Backward Circles,550,550,1.8200700283050537,0.5535249710083008,1.7414937019348145,0.1864999532699585,0.21712763607501984,0.10299772024154663,0.00504713598638773,
40,13,Lateral Raise Backward Circles,550,550,1.8115999698638916,0.5109840035438538,1.7226073741912842,0.16991017758846283,0.20904962718486786,0.09666722267866135,0.011707690544426441,
41,13,Lateral Raise Backward Circles,550,550,1.8205499649047852,0.5700060129165649,1.7472858428955078,0.17999334633350372,0.2135893553495407,0.09503129869699478,0.009216711856424809,
42,14,Lying Shoulder Joint Upward Round,550,550,1.76419997215271,2.295362949371338,1.8128583431243896,0.21628721058368683,0.31287410855293274,0.09044437855482101,0.0832134336233139,
43,14,Lying Shoulder Joint Upward Round,550,550,1.7627599239349365,2.3081789016723633,1.7913068532943726,0.20532481372356415,0.29732680320739746,0.09181321412324905,0.07192671298980713,
44,14,Lying Shoulder Joint Upward Round,550,550,1.762850046157837,2.227524995803833,1.761170506477356,0.20067068934440613,0.2829303741455078,0.08849691599607468,0.07515759021043777,
45,15,Lying Shoulder Joint Downward Round,550,550,1.747630000114441,2.3038148880004883,1.7739555835723877,0.2082265466451645,0.2993171513080597,0.0963459238409996,0.07779576629400253,
46,15,Lying Shoulder Joint Downward Round,550,550,1.7472800016403198,2.3659980297088623,1.7740508317947388,0.21289214491844177,0.30690670013427734,0.09525903314352036,0.07961886376142502,
47,15,Lying Shoulder Joint Downward Round,550,550,1.7395999431610107,2.3223729133605957,1.7917468547821045,0.2133365273475647,0.3004579544067383,0.09346123784780502,0.07636743038892746,
48,16,Bare-handed Full Lateral Raise,550,550,1.816580057144165,0.3572729825973511,2.2124900817871094,0.16664035618305206,0.24292467534542084,0.08667349815368652,0.04056497663259506,
49,16,Bare-handed Full Lateral Raise,550,550,1.8147900104522705,0.3650429844856262,2.214029312133789,0.16833165287971497,0.2421378344297409,0.08771443367004395,0.04009271040558815,
50,16,Bare-handed Full Lateral Raise,550,550,1.8219599723815918,0.34178799390792847,2.2042856216430664,0.16874709725379944,0.23998191952705383,0.08695344626903534,0.03887120261788368,
51,17,Bare-handed Cuban Press,550,550,1.1552799940109253,0.632856011390686,2.2379043102264404,0.1327911764383316,0.24078384041786194,0.0854053646326065,0.028684034943580627,
52,17,Bare-handed Cuban Press,550,550,1.1623499393463135,0.5901739597320557,2.1968226432800293,0.13907326757907867,0.22867900133132935,0.08134154975414276,0.02745419181883335,
53,17,Bare-handed Cuban Press,550,550,1.1631200313568115,0.5883380174636841,2.2119908332824707,0.15044009685516357,0.23613865673542023,0.08143474906682968,0.029491961002349854,
54,18,Fortune Cat,550,550,1.0622999668121338,0.6098319888114929,1.9263172149658203,0.14390796422958374,0.18220143020153046,0.1006527841091156,0.012306313961744308,
55,18,Fortune Cat,550,550,1.2818700075149536,0.6263620257377625,1.9111225605010986,0.1483834981918335,0.17697083950042725,0.11010415107011795,0.011259074322879314,
56,18,Fortune Cat,550,550,1.1871000528335571,0.5753939747810364,1.8975186347961426,0.1428242027759552,0.17948085069656372,0.10117994993925095,0.013031496666371822,
57,19,Dumbbell Curls,550,550,1.1367700099945068,0.7236149907112122,1.8383264541625977,0.12037531286478043,0.2270508110523224,0.09140945225954056,0.029081840068101883,
58,19,Dumbbell Curls,550,550,1.1061499118804932,0.8623820543289185,1.8215274810791016,0.10946822911500931,0.15461315214633942,0.07707555592060089,0.025216303765773773,
59,19,Dumbbell Curls,550,550,1.1429500579833984,0.8588860034942627,1.8358603715896606,0.11518936604261398,0.16584239900112152,0.08182423561811447,0.027359098196029663,
60,20,Alternate Dumbbell Curls,550,550,1.0747599601745605,0.8702709674835205,1.7307252883911133,0.10452817380428314,0.21657317876815796,0.08858626335859299,0.02108299545943737,
61,20,Alternate Dumbbell Curls,550,550,1.078909993171692,0.6557790040969849,1.7115916013717651,0.09888500720262527,0.16658014059066772,0.08388594537973404,0.01685389131307602,
